Feature,Frequency
delta_peak_mm,30
u_p_div_u_r,30
tau_r_div_tau_p,28
tau_p_div_u_p,23
tau_r_MPa,18
sigma_n_x_tau_r,7
tau_r_div_u_p,7
u_r_div_tau_r,6
u_p_x_tau_r,3
sigma_n_MPa,3
u_r_div_tau_p,2
tau_p_x_tau_r,2
u_r_div_u_p,2
tau_p_div_tau_r,2
sigma_n_x_tau_p,2
tau_p_div_u_r,2
u_p_x_tau_p,1
sigma_n_x_u_p,1
sigma_n_x_u_r,1
tau_r_div_u_r,1
sigma_n_div_u_r,1
