Feature,Frequency
u_p_x_tau_r,30
u_p_div_u_r,30
u_r_x_u_p,29
u_r_estimated,22
tau_peak_MPa_csds,12
tau_r_MPa,9
tau_r_div_u_p,9
sigma_n_MPa,9
tau_r_estimated,5
u_p_div_tau_r,4
tau_r_div_u_r,4
u_r_div_tau_p,2
tau_p_div_u_r,2
u_p_x_tau_p,2
u_r_div_tau_r,1
sigma_n_div_u_p,1
tau_p_x_tau_r,1
tau_p_div_u_p,1
sigma_n_div_tau_p,1
u_r_mm,1
tau_p_div_tau_r,1
