,count,mean,std,min,25%,50%,75%,max,missing
sigma_n_MPa,67.0,142.34328358208955,745.0869087448752,2.0,20.0,20.0,20.0,5512.0,0
log_sigma_n_MPa,67.0,3.099202013467345,0.9699219668743523,0.6931471805599453,2.995732273553991,2.995732273553991,2.995732273553991,8.614682812693495,0
delta_peak_mm,67.0,2.0302985074626863,1.3464228366296147,0.39,0.9199999999999999,1.85,2.825,6.69,0
log_delta_peak_mm,67.0,0.4747446281468798,0.7212544147006951,-0.941608539858445,-0.0836179596879569,0.6151856390902335,1.0383814787370378,1.900613874140137,0
u_r_mm,67.0,5.773685513777988,4.452394386327277,3.35,3.885,4.125,4.725,31.453947067343865,0
log_u_r_mm,67.0,1.6084583986321483,0.4615006200440362,1.208960345836975,1.3571221556327684,1.4170660197866443,1.5528535633812814,3.448524478207827,0
tau_peak_MPa_csds,67.0,15.94438805970149,5.716006844036087,7.35,14.489999999999998,15.58,16.384999999999998,55.263,0
log_tau_peak_MPa_csds,67.0,2.7302976591889268,0.2625047803141715,1.9947003132247452,2.6734185089708555,2.7459880404426023,2.796366235590331,4.01210360683819,0
tau_r_MPa,67.0,13.398282020395627,3.098527364392987,2.2212250296583855,12.9925,14.159999999999998,14.930416666666666,18.994999999999997,0
log_tau_r_MPa,67.0,2.5445491077023066,0.38523486580327637,0.7980588588516229,2.5643719717007136,2.6504210882655737,2.703400406638247,2.9441757866395886,0
c_target,67.0,1.0816101090310062,0.3241038297142923,0.1589625616554528,1.0582306830907053,1.2121212121212122,1.2870034187581163,1.4925373134328357,0
d_csds,67.0,75.71808257667684,160.0377630628714,7.931918507722547,19.533446020159445,26.70369715320237,74.4678106974992,1227.1610619263406,0
log_d_csds,67.0,3.632601843232936,1.0025881797026084,2.07089493674226,2.972101059854751,3.2848020259774886,4.310245341593868,7.112458700910083,0
e_csds,67.0,3.1833777826412537,2.5947702506853707,0.5794840127037909,1.3239041756458778,2.0220034481788933,4.027450174419974,12.268593789286898,0
e_minus_c_csds,67.0,2.1017676736102477,2.5080373460636056,0.030220729505912036,0.23357658762498984,1.0396162811021885,2.818067185038061,10.995519314430119,0
log_e_minus_c_csds,67.0,-0.09674974033351698,1.4434710166976907,-3.499227182590651,-1.4590627588792096,0.038851684591951936,1.036034080646566,2.3974878547631056,0
