sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,1.130581208633603,0.4761904761904761,4.855581208633603,2.561313773804266,-0.03947767987336959,0.03947767987336959,-0.03947767987336981,0.03947767987336981,0.13036509866361268,0.13036509866361268,0.0167628382845676,0.006945213249492,0.9989251338284942,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.8708620142414492,0.4761904761904761,4.413362014241449,1.579225401149116,0.0013793747848334093,0.0013793747848334093,0.0013793747848334093,0.0013793747848334093,-0.0022722909334251806,0.0022722909334251806,0.0005023306076708,0.0002231167668154,0.9999991654049496,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,3.0182319636711563,2.061855670103093,7.315731963671157,5.671426832446383,-0.09263805997940278,0.09263805997940278,-0.09263805997940278,0.09263805997940278,0.1536122344758546,0.1536122344758546,0.0131768851461831,0.0070451366451572,0.9996552044427606,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
32,0.3,2.175,4.71,4.1925,4.1925,1.211168346774408,2.298850574712644,5.403668346774408,13.642584509493682,4.1925,1.2447816646816028,2.298850574712644,5.437281664681603,13.091900457874958,0.033613317907194684,0.033613317907194684,0.033613317907194684,0.033613317907194684,-0.5506840516187239,0.5506840516187239,0.014007539574387,0.0058068708864587,0.9993621422039922,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
35,0.47,2.2,4.91,4.25,4.25,2.5915991927768687,2.2727272727272725,6.841599192776869,7.213346651196478,4.25,2.5708481415690647,2.2727272727272725,6.820848141569065,7.27372714795622,-0.02075105120780396,0.02075105120780396,-0.02075105120780396,0.02075105120780396,0.06038049675974211,0.06038049675974211,0.0037179443637004,0.0019227763751902,0.9999693431001196,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
38,0.26,2.175,5.3,4.1,4.1,2.5910971306331803,2.298850574712644,6.69109713063318,13.042743993933716,4.1,2.6063851493614925,2.298850574712644,6.706385149361492,12.91057276846106,0.015288018728312203,0.015288018728312203,0.015288018728312203,0.015288018728312203,-0.13217122547265525,0.13217122547265525,0.0039584042939164,0.001963377246692,0.9999600902946362,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
41,0.38,2.175,5.2,4.3975,4.3975,2.452688320111813,2.298850574712644,6.850188320111813,9.031706106944794,4.3975,2.419004157874573,2.298850574712644,6.816504157874573,9.191415879251178,-0.03368416223723969,0.03368416223723969,-0.03368416223723969,0.03368416223723969,0.1597097723063836,0.1597097723063836,0.0076434957349618,0.0037981735199666,0.9998680073908524,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
44,1.5,2.625,3.89,3.6325,3.6325,10.486129835864666,1.9047619047619049,14.118629835864668,2.474961892115721,3.6325,10.701691365390136,1.9047619047619049,14.334191365390136,2.4615425614842072,0.2155615295254698,0.2155615295254698,0.21556152952546803,0.21556152952546803,-0.01341933063151357,0.01341933063151357,0.0033974204486411,0.002055775767739,0.9999779424848138,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
47,0.6,2.175,5.04,4.655,4.655,2.141531174694559,2.298850574712644,6.796531174694559,6.310564627174357,4.655,2.06778050399088,2.298850574712644,6.72278050399088,6.506304830942119,-0.0737506707036788,0.0737506707036788,-0.0737506707036788,0.0737506707036788,0.19574020376776158,0.19574020376776158,0.0152075878174026,0.0074670648076053,0.999597864964068,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
49,1.46,2.566666666666667,4.68,4.1066666666666665,4.1066666666666665,30.593215473314466,1.948051948051948,34.69988213998113,2.300589855794831,4.1066666666666665,27.628758960338885,1.948051948051948,31.73542562700555,2.345071699891367,-2.9644565129755804,2.9644565129755804,-2.964456512975577,2.964456512975577,0.044481844096535994,0.044481844096535994,0.0186208549018402,0.0116279352506181,0.9995294943444536,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_5
