source,dataset,method,model_name,model_label,model_family,selection_mode,model_key,target,target_label,true_column,pred_column,n_rows,mean_observed,mean_predicted,mean_residual,median_residual,std_residual,mae,rmse,r2,residual_q05,residual_q95,max_abs_residual,overprediction_share
best_by_method,FULL,methodologie_1,FULL_poly_rank_1,FULL_poly_rank_1,polynomial,log,best_by_method_FULL_methodologie_1_FULL_poly_rank_1,b,b,true_b,estimated_b,284,18.5741605084247,16.638395026011143,-1.9357654824135548,-0.00022506361905734983,41.033447064039215,6.773180701301733,41.00685663015046,0.7506235094996049,-10.228574452258139,10.3389253991437,645.9222625992182,0.4964788732394366
best_by_method,FULL,methodologie_1,FULL_poly_rank_1,FULL_poly_rank_1,polynomial,log,best_by_method_FULL_methodologie_1_FULL_poly_rank_1,d,d,true_d,estimated_d,284,22.5750984814882,20.639332999074647,-1.9357654824135555,-0.00022506361905729952,41.03344706403924,6.773180701301735,41.00685663015048,0.7605037926264208,-10.228574452258139,10.338925399143696,645.9222625992186,0.4964788732394366
best_by_method,FULL,methodologie_1,FULL_poly_rank_1,FULL_poly_rank_1,polynomial,log,best_by_method_FULL_methodologie_1_FULL_poly_rank_1,e,e,true_e,estimated_e,284,6.931680373080406,6.52253297468521,-0.4091473983951973,-0.26328276455151056,3.3982476400602493,0.8832082799782528,3.4168445001986845,0.8817954356150707,-1.4599755466072186,1.3749162021805812,53.51481328955634,0.176056338028169
best_by_method,FULL,methodologie_2,FULL_direct_poly_rank_4,FULL_direct_poly_rank_4,polynomial,log_gap,best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,b,b,b_csds,b_pred,299,17.72681007090898,16.030654244574965,-1.6961558263340177,-0.0036856668170023033,27.4726083632055,3.5325454348431475,27.479027034035518,0.8823566512991884,-7.351006656008747,1.6338962158045833,435.34538261322086,0.42474916387959866
best_by_method,FULL,methodologie_2,FULL_direct_poly_rank_4,FULL_direct_poly_rank_4,polynomial,log_gap,best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,d,d,d_csds,d_pred,299,21.87828640851028,20.18213058217626,-1.6961558263340184,-0.0036856668170022963,27.472608363205516,3.532545434843149,27.479027034035536,0.8869758996064261,-7.351006656008747,1.6338962158045833,435.3453826132212,0.42474916387959866
best_by_method,FULL,methodologie_2,FULL_direct_poly_rank_4,FULL_direct_poly_rank_4,polynomial,log_gap,best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,e,e,e_csds,e_pred,299,6.8526708651773856,6.250285871376751,-0.6023849938006348,0.02275910888956112,4.237472209401992,0.9566407850525824,4.273053278806217,0.8068322866305868,-2.7709772432739155,0.8086074509422416,44.780357153974975,0.5752508361204013
best_by_method,FULL,methodologie_2,FULL_direct_poly_rank_4,FULL_direct_poly_rank_4,polynomial,log_gap,best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,z,z = log(e-c),log_e_minus_c_csds,z_pred,299,0.673972380956891,0.6739723809568912,2.8442502905112707e-16,0.022696777513185606,0.18024746822368634,0.12549165716798233,0.17994579860937487,0.9856602544515707,-0.3234371091799486,0.19186738257365585,1.0315782862257499,0.5752508361204013
best_by_method,HIGH,methodologie_1,HIGH_poly_rank_2,HIGH_poly_rank_2,polynomial,log,best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,b,b,true_b,estimated_b,67,62.3198005562812,50.79893169032471,-11.520868865956503,-0.033456171369202536,78.49404839841962,18.448442836947127,78.75332449214181,0.7548451493320687,-43.17020412657322,12.75463614462973,626.2932295337981,0.4925373134328358
best_by_method,HIGH,methodologie_1,HIGH_poly_rank_2,HIGH_poly_rank_2,polynomial,log,best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,d,d,true_d,estimated_d,67,75.71808257667684,64.19721371072032,-11.52086886595651,-0.033456171369202536,78.49404839841966,18.448442836947134,78.75332449214186,0.7541763206177616,-43.17020412657321,12.75463614462973,626.2932295337985,0.4925373134328358
best_by_method,HIGH,methodologie_1,HIGH_poly_rank_2,HIGH_poly_rank_2,polynomial,log,best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,e,e,true_e,estimated_e,67,3.1833777826412537,2.9783621879783886,-0.2050155946628655,-0.21009089188405428,0.9004621845699807,0.4162718383981769,0.9169305140355687,0.8732330917637827,-0.9394514710265404,0.06708744000748523,6.266337141237685,0.08955223880597014
best_by_method,HIGH,methodologie_2,HIGH_direct_poly_rank_1,HIGH_direct_poly_rank_1,polynomial,log_gap,best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,b,b,b_csds,b_pred,67,62.3198005562812,53.167414754777255,-9.152385801503954,-0.030284695423265617,67.52698616001278,14.806546367847757,67.64319558095158,0.8191365000217021,-30.28897976993655,5.349423814800575,526.4818350313808,0.47761194029850745
best_by_method,HIGH,methodologie_2,HIGH_direct_poly_rank_1,HIGH_direct_poly_rank_1,polynomial,log_gap,best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,d,d,d_csds,d_pred,67,75.71808257667684,66.56569677517288,-9.15238580150396,-0.030284695423265617,67.52698616001281,14.806546367847764,67.64319558095163,0.8186430702493523,-30.28897976993655,5.349423814800575,526.4818350313811,0.47761194029850745
best_by_method,HIGH,methodologie_2,HIGH_direct_poly_rank_1,HIGH_direct_poly_rank_1,polynomial,log_gap,best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,e,e,e_csds,e_pred,67,3.1833777826412537,3.12844486964967,-0.05493291299158396,0.014326285138224426,0.3609315248695471,0.1662298706835716,0.3624152850644655,0.9801963127528263,-0.5712825697334135,0.2625563314234209,1.7055732949914768,0.5223880597014925
best_by_method,HIGH,methodologie_2,HIGH_direct_poly_rank_1,HIGH_direct_poly_rank_1,polynomial,log_gap,best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,z,z = log(e-c),log_e_minus_c_csds,z_pred,67,-0.09674974033351698,-0.09674974033351696,-2.3198690066794315e-17,0.009232415919294468,0.1890801338085069,0.1245911549107211,0.18766378327547945,0.9828416443414326,-0.34379748872527227,0.25234740860426996,0.6114702324809458,0.5223880597014925
best_by_method,LOW_1,methodologie_1,LOW_1_poly_rank_4,LOW_1_poly_rank_4,polynomial,log,best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,b,b,true_b,estimated_b,162,2.2908722903600833,2.216462003047537,-0.07441028731254648,-0.0006600144187475961,1.1110439284235254,0.398435808541782,1.1101061362663835,0.9793952028384686,-0.9394731978772111,1.6225289582717826,9.129397310245352,0.4876543209876543
best_by_method,LOW_1,methodologie_1,LOW_1_poly_rank_4,LOW_1_poly_rank_4,polynomial,log,best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,d,d,true_d,estimated_d,162,2.763114902750768,2.688704615438222,-0.07441028731254645,-0.0006600144187475926,1.1110439284235254,0.398435808541782,1.1101061362663835,0.9806890259289834,-0.9394731978772111,1.6225289582717826,9.129397310245352,0.4876543209876543
best_by_method,LOW_1,methodologie_1,LOW_1_poly_rank_4,LOW_1_poly_rank_4,polynomial,log,best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,e,e,true_e,estimated_e,162,8.468582402675,8.02322044340301,-0.445361959271989,-0.30650719232861035,3.4908081772810213,0.9075605245761028,3.508399688942544,0.9208210955369671,-1.307728624537307,1.3965013731847609,41.79946394510733,0.16666666666666666
best_by_method,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,LOW_1_direct_poly_rank_3,polynomial,log_gap,best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,b,b,b_csds,b_pred,163,2.2777347799789176,2.199488757743425,-0.07824602223549232,-0.001103948184953801,1.7512994752444861,0.3457651497488746,1.7476716039424012,0.9486397239520271,-0.3617848147717348,0.3054636640073847,19.753549841210983,0.4601226993865031
best_by_method,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,LOW_1_direct_poly_rank_3,polynomial,log_gap,best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,d,d,d_csds,d_pred,163,2.7483021974645703,2.6700561752290786,-0.07824602223549229,-0.0011039481849537958,1.7512994752444861,0.34576514974887457,1.7476716039424012,0.951869087585698,-0.3617848147717344,0.30546366400738467,19.753549841210983,0.4601226993865031
best_by_method,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,LOW_1_direct_poly_rank_3,polynomial,log_gap,best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,e,e,e_csds,e_pred,163,8.421491753058065,7.617431493455281,-0.8040602596027857,0.015009174231042643,6.019125414564078,1.4944592944991204,6.054264159382196,0.763311007272433,-3.511570552316901,1.5993300863224438,54.28021183649932,0.5398773006134969
best_by_method,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,LOW_1_direct_poly_rank_3,polynomial,log_gap,best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,z,z = log(e-c),log_e_minus_c_csds,z_pred,163,0.8529731674805942,0.852973167480594,-1.9479986812441398e-16,0.0277612955396538,0.21032934669464798,0.137490996311955,0.20968317205946138,0.9804871412226238,-0.26245081203579074,0.2880220335695273,1.5145013803505685,0.5398773006134969
best_by_method,LOW_2,methodologie_1,LOW_2_poly_rank_1,LOW_2_poly_rank_1,polynomial,log,best_by_method_LOW_2_methodologie_1_LOW_2_poly_rank_1,b,b,true_b,estimated_b,69,10.922011663686668,10.69957314051671,-0.2224385231699552,0.04785970102696879,3.5520299207141397,1.1422410850240028,3.5332055687554043,0.9779734637844256,-3.0909475291182593,1.160763545752423,17.85576126362787,0.6086956521739131
best_by_method,LOW_2,methodologie_1,LOW_2_poly_rank_1,LOW_2_poly_rank_1,polynomial,log,best_by_method_LOW_2_methodologie_1_LOW_2_poly_rank_1,d,d,true_d,estimated_d,69,14.790186164065231,14.567747640895275,-0.2224385231699552,0.04785970102696879,3.5520299207141393,1.1422410850240028,3.533205568755404,0.9781934564143749,-3.0909475291182553,1.160763545752423,17.85576126362787,0.6086956521739131
best_by_method,LOW_2,methodologie_1,LOW_2_poly_rank_1,LOW_2_poly_rank_1,polynomial,log,best_by_method_LOW_2_methodologie_1_LOW_2_poly_rank_1,e,e,true_e,estimated_e,69,6.709552485545068,6.246375549636076,-0.46317693590899056,-0.4700125127315644,0.29706784840934614,0.46839792747239,0.5490930750421362,0.9836340124111638,-0.8443357749702184,-0.06435737905660464,1.3957198632384102,0.028985507246376812
best_by_method,LOW_2,methodologie_2,LOW_2_direct_poly_rank_1,LOW_2_direct_poly_rank_1,polynomial,log_gap,best_by_method_LOW_2_methodologie_2_LOW_2_direct_poly_rank_1,b,b,b_csds,b_pred,69,10.922011663686668,10.804352784965905,-0.11765887872076242,0.0003331100954335753,2.112074302473484,0.6277339123150152,2.1000122278238478,0.9922187021031681,-3.1955297953372743,0.3542415353252538,13.849431485669271,0.5072463768115942
best_by_method,LOW_2,methodologie_2,LOW_2_direct_poly_rank_1,LOW_2_direct_poly_rank_1,polynomial,log_gap,best_by_method_LOW_2_methodologie_2_LOW_2_direct_poly_rank_1,d,d,d_csds,d_pred,69,14.790186164065231,14.672527285344467,-0.11765887872076244,0.0003331100954335753,2.112074302473484,0.6277339123150152,2.1000122278238478,0.9922964187342348,-3.195529795337273,0.35424153532525493,13.849431485669271,0.5072463768115942
best_by_method,LOW_2,methodologie_2,LOW_2_direct_poly_rank_1,LOW_2_direct_poly_rank_1,polynomial,log_gap,best_by_method_LOW_2_methodologie_2_LOW_2_direct_poly_rank_1,e,e,e_csds,e_pred,69,6.709552485545068,6.6641984687427716,-0.04535401680229524,-0.0003988534459202775,0.20078686452653827,0.13154615891917634,0.20442130797647873,0.9977316889425877,-0.42097288524836035,0.19913268415054053,0.7495079777404641,0.4927536231884058
best_by_method,LOW_2,methodologie_2,LOW_2_direct_poly_rank_1,LOW_2_direct_poly_rank_1,polynomial,log_gap,best_by_method_LOW_2_methodologie_2_LOW_2_direct_poly_rank_1,z,z = log(e-c),log_e_minus_c_csds,z_pred,69,0.9994978001321625,0.9994978001321625,3.5418528013856894e-16,-0.00030956635344092653,0.0476634743250674,0.03470930086668962,0.04731682627486429,0.9986912833681554,-0.0793800016439627,0.0724643125748936,0.1542317969760243,0.4927536231884058
