source,dataset,method,model_name,model_label,model_family,selection_mode,model_key,n_rows,valid_curve_count,curve_rmse_tau_u_mean,curve_rmse_tau_u_median,curve_rmse_tau_u_q95,curve_rmse_tau_u_max,curve_mae_tau_u_mean,curve_mae_tau_u_median,curve_mae_tau_u_q95,curve_mae_tau_u_max,curve_r2_tau_u_mean,curve_r2_tau_u_median,curve_r2_tau_u_q95,curve_r2_tau_u_max
best_by_method,FULL,methodologie_1,FULL_poly_rank_1,FULL_poly_rank_1,polynomial,log,best_by_method_FULL_methodologie_1_FULL_poly_rank_1,284,284,0.30378218016094666,0.07475300288157649,1.2873353867313397,5.232462462125929,0.2100090379494369,0.0456923242574889,0.8830643364954989,4.026003610655346,0.7168954289585607,0.9199315043442359,0.9964454004360508,0.9999025985942892
best_by_method,FULL,methodologie_2,FULL_direct_poly_rank_4,FULL_direct_poly_rank_4,polynomial,log_gap,best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,299,299,0.03222452327572379,0.0082445533091879,0.14912846803807928,0.4042287427322658,0.01691575761001673,0.0048829412326327,0.07655836086643715,0.1806165203752235,0.9959173215735306,0.9989973227660276,0.9999934201621066,0.9999999698454478
best_by_method,HIGH,methodologie_1,HIGH_poly_rank_2,HIGH_poly_rank_2,polynomial,log,best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,67,67,0.9387309882514826,0.4834611420176504,2.9409596553254738,5.232676748940585,0.6461295953348589,0.2946979332125967,2.184820250504574,4.026449207719015,0.808896163576868,0.9583236259689808,0.9986002640560308,0.9992863779133198
best_by_method,HIGH,methodologie_2,HIGH_direct_poly_rank_1,HIGH_direct_poly_rank_1,polynomial,log_gap,best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,67,67,0.07298287310522629,0.0575524752894486,0.15911308364164028,0.433165107295733,0.03915223397379477,0.0269015778616733,0.10878214953357769,0.1944573656399858,0.998146690552206,0.9995084917019148,0.9999827333389679,0.9999969179559974
best_by_method,LOW_1,methodologie_1,LOW_1_poly_rank_4,LOW_1_poly_rank_4,polynomial,log,best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,162,162,0.046942886264374505,0.0106956435641546,0.21032232079543708,0.7515660771365962,0.03239989625064572,0.0066671832352533,0.14530117966488917,0.5441351941498792,0.8210188767470507,0.9426746980949205,0.9970799478302744,0.9997449549449048
best_by_method,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,LOW_1_direct_poly_rank_3,polynomial,log_gap,best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,163,163,0.005435141237426734,0.0018134028781339,0.020407077361404114,0.1032971147966118,0.003352595633577334,0.0009533625753797,0.012547480049166532,0.0806078516531996,0.9929795129590447,0.9989642312726622,0.9999772705851836,0.999999998979012
best_by_method,LOW_2,methodologie_1,LOW_2_poly_rank_1,LOW_2_poly_rank_1,polynomial,log,best_by_method_LOW_2_methodologie_1_LOW_2_poly_rank_1,69,69,0.17156604135381362,0.0685427529284818,0.8854849539058921,1.0477299962773945,0.11164058576676482,0.0351508110628634,0.6344707685773442,0.7252901882237015,0.8795103741718808,0.9891226974949212,0.9982483966024991,0.9991202110099626
best_by_method,LOW_2,methodologie_2,LOW_2_direct_poly_rank_1,LOW_2_direct_poly_rank_1,polynomial,log_gap,best_by_method_LOW_2_methodologie_2_LOW_2_direct_poly_rank_1,69,69,0.00833562283535832,0.0068615265429675,0.01990842829621246,0.0298191218965027,0.004686233722874039,0.0037589681419479,0.01189321781864524,0.0214151430662831,0.9997762114641623,0.9999236479508382,0.9999988380714855,0.9999999752567564
pca_final_calibration_test,CALIBRATION_TEST,methodologie_2,top5_pca_full,PCA 5 composantes FULL,pca_ridge,calibration_test,pca_final_calibration_test_CALIBRATION_TEST_methodologie_2_top5_pca_full,6,6,0.3233427900306419,0.17891903877118595,0.9830352064103183,1.1845051408408762,0.21789353344086182,0.10141309733725655,0.6943466390967243,0.8405146476996735,0.9580169219330079,0.9683012582947211,0.9997157644924652,0.9998145838517624
