dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663835,0.9806890259289834,1.1101061362663835,0.9793952028384686,3.508399688942544,0.9208210955369671,0.10428135770984288,0.046942886264374546,0.010695643564154651,0.7515660771365962,162,0.9711027307715264
LOW_1,LOW_1_poly_rank_2,161,2.5706234773466163,0.8970106376253967,2.5706234773466163,0.8901312280276615,3.5698616397192904,0.9185302448951261,0.1049221517993701,0.04783423365937801,0.013907613974443376,0.7512809991207119,161,0.9707995648497102
LOW_1,LOW_1_poly_rank_5,161,2.161593912813084,0.9271778247459133,2.1615939128130846,0.9223135012874504,3.16864518947926,0.9358139181185918,0.10541826117780602,0.04790518129791025,0.013264778276604616,0.7513720176943516,161,0.970522771848159
LOW_1,LOW_1_poly_rank_3,159,1.0822245570403215,0.9819502685634222,1.0822245570403215,0.9807494149400591,3.0298934313609016,0.9417809198997218,0.10695460458635746,0.048923373491162596,0.013522411461405858,0.7515741336500472,159,0.9698791992654321
LOW_1,LOW_1_poly_rank_1,161,1.0274280774240634,0.9835536268681614,1.0274280774240627,0.982450612792609,2.9406232620961115,0.9435180697765947,0.10752088122781826,0.04989195647046833,0.017681306109240867,0.7517065182795134,161,0.9694637194434282
LOW_1,LOW_1_exp_log_rank_2,162,3.3763781932221324,0.8214475365190741,3.376378193222133,0.8094657310054962,4.625042836762504,0.8626579549271893,0.1294173592361335,0.06890910338347633,0.026454898606610613,0.7516768879887264,162,0.9527426087657135
LOW_1,LOW_1_exp_log_rank_4,162,3.703675550158023,0.7851528770732144,3.7036755501580236,0.7707355098082955,4.525653408698941,0.868497329329001,0.13462070604980175,0.07262125196414289,0.03248275356942257,0.7517339808309732,162,0.9488661605102728
LOW_1,LOW_1_exp_log_rank_3,161,3.470474750238531,0.8123887484556246,3.470474750238531,0.7998352347567059,4.479271646209569,0.8716658284443599,0.21043314626815277,0.07630853240838006,0.013862094633037532,1.6099010181614262,161,0.8752865433922645
LOW_1,LOW_1_exp_log_rank_5,160,5.208478005000099,0.579749834602528,5.208478005000099,0.551707781361666,4.095927457857834,0.8931790085011995,0.15783768206966453,0.08110206496381774,0.03345557954550385,1.038151158390153,160,0.9299822628515068
LOW_1,LOW_1_exp_log_rank_1,160,4.294509642106936,0.7144635282963827,4.294509642106936,0.6953989016032638,4.716329333968877,0.8583391289626107,0.1951032667461658,0.08211229456787585,0.026539323530182714,1.508155514352944,160,0.8894422931827894
LOW_1,LOW_1_exp_d_rank_3,153,43.60726361285365,-27.20314880392107,43.607263612853664,-29.115740745809116,4.708354993510743,0.8609487951225909,0.30530725087193894,0.09739260035053317,0.033299887215932154,2.668026410047714,153,0.7583264678033638
LOW_1,LOW_1_exp_d_rank_2,157,25.120688122844026,-8.59930764840715,25.120688122844026,-9.244717040406945,5.461986499848025,0.8132131861160584,0.35975858173681086,0.11069887722018767,0.03778232350729735,3.226697275174673,157,0.6613422564617076
LOW_1,LOW_1_exp_d_rank_5,157,11.48514691088027,-1.0081449739290687,11.48514691088027,-1.142438041028972,7.344660598611962,0.6547746061828417,0.3222491311659125,0.11152508892764096,0.04978274966267013,2.3250999227389983,157,0.7281941416871693
LOW_1,LOW_1_exp_d_rank_1,156,23.6301029699707,-7.446258468767827,23.6301029699707,-8.012437693465376,6.35588979002138,0.7485059956107303,0.3688025464679325,0.11289511984540301,0.04113845399784134,3.3042292641179527,156,0.6448365795833331
LOW_1,LOW_1_exp_d_rank_4,152,6.078531950638605,0.45520223599960363,6.078531950638605,0.41868784631169953,6.09770560862223,0.7654231758325905,0.4660407711456393,0.1286586116008782,0.03906626538790697,4.671799698340771,152,0.36824026014772726
