Dataset,Selection_Mode,Rank_in_saved_results,N_Features,Features,Intercept_log_e_minus_c,Equation_log_e_minus_c,Equation_e,Saved_R2_val_z,Saved_R2_cv_mean_z,Saved_R2_val_e,Saved_RMSE_val_e,Saved_R2_test_z,Saved_RMSE_test_z,Saved_R2_test_e_gap,Saved_RMSE_test_e_gap,Saved_R2_test_e,Saved_RMSE_test_e,Saved_R2_test_tau_u,Saved_RMSE_test_tau_u,Saved_Selection_Score
HIGH,log_gap,1,6,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,-3.4949964489333496,log(e-c) = -3.4949964489 - 0.0040960011*u_r_x_tau_r - 4.0223238710*u_p_div_u_r + 0.0159179315*u_r_div_u_p + 5.0293834923*tau_r_div_tau_p + 0.3305767104*u_r_div_tau_r + 0.0502023841*tau_p_div_u_p,e = c + exp(-3.4949964489 - 0.0040960011*u_r_x_tau_r - 4.0223238710*u_p_div_u_r + 0.0159179315*u_r_div_u_p + 5.0293834923*tau_r_div_tau_p + 0.3305767104*u_r_div_tau_r + 0.0502023841*tau_p_div_u_p),0.9002129041609763,0.9150864200232868,0.9468195691809002,0.4083207377424182,0.9451189945499956,0.307569407780078,0.7607913849812691,1.2654374859651198,0.7781629936732305,1.2654374859651198,0.9961135659517774,0.2602529038161384,1.2948929612656113
HIGH,log_gap,2,6,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_r + tau_p_div_u_p,-2.67631609331617,log(e-c) = -2.6763160933 - 0.0044476389*u_r_x_tau_r - 4.0226682190*u_p_div_u_r + 4.6479007898*tau_r_div_tau_p + 0.2263194048*u_r_div_tau_r - 0.1201884627*tau_p_div_u_r + 0.0565646505*tau_p_div_u_p,e = c + exp(-2.6763160933 - 0.0044476389*u_r_x_tau_r - 4.0226682190*u_p_div_u_r + 4.6479007898*tau_r_div_tau_p + 0.2263194048*u_r_div_tau_r - 0.1201884627*tau_p_div_u_r + 0.0565646505*tau_p_div_u_p),0.8882406985562145,0.9269354228160208,0.9722673985322846,0.2948633647596828,0.9632742608543196,0.2516039062261256,0.9265944502035568,0.7009979291676847,0.9319252468673068,0.7009979291676847,0.9974669930565884,0.2101058394806765,1.289904296616327
HIGH,log_gap,3,4,u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,-1.3002210542693382,log(e-c) = -1.3002210543 - 0.0055120754*u_r_x_tau_r - 4.8898524228*u_p_div_u_r + 0.0767352072*u_r_div_u_p + 3.7319414366*tau_r_div_tau_p,e = c + exp(-1.3002210543 - 0.0055120754*u_r_x_tau_r - 4.8898524228*u_p_div_u_r + 0.0767352072*u_r_div_u_p + 3.7319414366*tau_r_div_tau_p),0.8765113709516559,0.9023500817940008,0.9687209904734362,0.3131497057221025,0.7462871934287949,0.6613072767537209,-15.824311970767493,10.612579179832933,-14.60251080760801,10.612579179832933,0.9973691914701708,0.2141236083858069,1.2845566582051862
HIGH,log_gap,4,5,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,-1.3259085605222933,log(e-c) = -1.3259085605 - 0.0041871935*u_r_x_tau_r - 4.0989278720*u_p_div_u_r + 3.6501330468*tau_r_div_tau_p - 0.2053857513*tau_p_div_u_r + 0.0542965326*tau_p_div_u_p,e = c + exp(-1.3259085605 - 0.0041871935*u_r_x_tau_r - 4.0989278720*u_p_div_u_r + 3.6501330468*tau_r_div_tau_p - 0.2053857513*tau_p_div_u_r + 0.0542965326*tau_p_div_u_p),0.8721736311398907,0.9267572530142713,0.986372291122542,0.2066983145911277,0.9692978081588928,0.2300471182339843,0.9531578609718346,0.5599775891633798,0.95655959175577,0.5599775891633798,0.9984645309220715,0.1635838669406296,1.2838598324700732
HIGH,log_gap,5,6,u_r_x_u_p + u_r_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + sigma_n_div_tau_p,-2.028565222732756,log(e-c) = -2.0285652227 + 0.0075789551*u_r_x_u_p - 0.0086524951*u_r_x_tau_r - 5.1382744441*u_p_div_u_r + 0.0784022719*u_r_div_u_p + 4.7667149000*tau_r_div_tau_p + 0.0087983121*sigma_n_div_tau_p,e = c + exp(-2.0285652227 + 0.0075789551*u_r_x_u_p - 0.0086524951*u_r_x_tau_r - 5.1382744441*u_p_div_u_r + 0.0784022719*u_r_div_u_p + 4.7667149000*tau_r_div_tau_p + 0.0087983121*sigma_n_div_tau_p),0.8860032747718928,0.9171334812077822,0.9450128692769932,0.4151987534353341,0.7477370951988107,0.6594149710433869,-13.608397600967296,9.889027336805876,-12.547518724507432,9.889027336805876,0.9944632912271272,0.3106316997199064,1.2817320225747155
