Feature,Frequency
tau_p_div_u_p,30
u_p_div_u_r,30
tau_r_div_tau_p,29
u_r_x_u_p,16
delta_peak_mm,14
tau_r_estimated,11
u_r_estimated,6
tau_p_x_tau_r,6
sigma_n_x_u_r,5
u_r_x_tau_p,5
sigma_n_x_tau_p,5
tau_r_MPa,2
u_r_mm,2
sigma_n_div_u_r,1
sigma_n_x_tau_r,1
sigma_n_MPa,1
tau_p_div_tau_r,1
tau_peak_estimated,1
u_r_div_u_p,1
