Feature,Frequency
tau_r_div_tau_p,30
tau_p_div_u_p,30
u_p_div_u_r,30
u_p_div_tau_r,24
delta_peak_mm,15
u_r_x_u_p,6
tau_p_div_u_r,4
u_r_x_tau_r,4
u_p_div_tau_p,3
tau_r_div_u_p,3
tau_r_estimated,2
u_r_div_u_p,2
tau_r_div_u_r,2
u_r_mm,2
tau_peak_estimated,1
tau_p_div_tau_r,1
tau_r_MPa,1
u_r_div_tau_r,1
u_r_estimated,1
