Feature,Frequency
delta_peak_mm,30
u_p_div_u_r,30
tau_r_div_tau_p,30
tau_r_MPa,17
tau_p_div_u_p,16
tau_p_div_u_r,15
tau_r_div_u_r,5
sigma_n_div_u_r,4
u_r_x_tau_r,3
sigma_n_div_tau_r,2
u_r_x_tau_p,2
tau_p_div_tau_r,2
tau_peak_estimated,2
tau_r_div_u_p,2
tau_r_div_sigma_n,2
sigma_n_div_tau_p,1
tau_p_x_tau_r,1
tau_peak_MPa_csds,1
sigma_n_x_u_p,1
sigma_n_div_u_p,1
