Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4
1,1.73,2,,0.545,0.53,0.52,,
1,2,2.78,3,4.465,4.389,4.11,4.082,
4,4.54,5,-,15.18,15.18,14.41,-,
1,1.7,2,-,0.697,0.68,0.66,-,
1,2,2.72,3,5.366,4.503,4.38,4.123,
3,4,4.52,5,16.55,15.79,14.95,14.98,
1,1.71,2,,0.457,0.42,0.444,-,
1,2,2.81,3,3.679,3.514,3.34,3.438,
2,4,4.56,5,13.31,12.32,12.79,12.42,
1,1.78,2,-,0.672,0.71,0.672,-,
1,2,2.77,3,4.567,4.541,3.98,3.932,
3,4,4.72,5,14.55,14.07,14.04,14.1,
1.7,2,-,-,0.58,0.57,-,-,
2,2.81,3,-,4.61,4.49,4.39,-,
3,4,4.85,5,16.7,16.56,16.57,16.41,
1,2,2.22,-,0.69,0.57,0.55,0,
2,2.72,3,-,4.12,4.02,3.94,-,
3,5,5.36,6,14.59,15.77,14.8,14.45,
1,1.72,2,-,0.5,0.49,0.44,-,
1,2,2.69,3,4.15,3.83,3.81,3.8,
4,4.49,5,-,14.58,14.2,13.7,-,
1,1.68,2,-,0.57,0.57,0.55,-,
2,3,3.71,4,4.19,3.58,3.46,3.53,
3,4,5,5.51,14.7,14.9,14.91,14.99,
1,1.68,2,-,0.64,0.55,0.44,-,
1,2,2.7,3,4.7,4.37,3.98,3.95,
2,3,4.45,5,15.69,15.09,14.62,14.46,
1.8,2,-,-,0.55,0.53,-,-,
2,2.7,3,-,4.01,3.89,3.9,-,
-,-,-,-,-,-,-,-,
1,1.68,2,-,0.5,0.49,0.44,-,
1,2,2.71,3,3.95,3.87,3.64,3.52,
2,4,4.6,5,13.69,13.56,13.63,13.49,
1,1.87,2,-,0.635,0.56,0.521,-,
1,2,2.73,3,4.53,4.08,4.01,3.859,
2,4,4.58,5,14.13,12.66,12.72,12.5,
1,1.7,2,-,0.647,0.56,0.546,-,
1,2,2.7,3,4.494,4.443,4.37,4.329,
2,4,4.45,5,15.73,15.26,15.01,14.93,
1,1.67,2,-,0.647,0.56,0.546,-,
1,2,2.67,3,4.722,4.595,4.25,4.164,
2,4,4.45,5,16.54,15.53,15.63,15.48,
1,1.68,2,-,0.571,0.57,0.533,-,
2,2.69,3,-,4.329,4.26,4.291,-,
4,4.66,5,-,16.52,16.5,16.52,-,
1,1.66,2,-,0.609,0.54,0.482,-,
1,2,2.68,3,4.265,3.986,4,3.935,
3,4,4.52,5,15.44,15.03,14.79,14.29,
1,1.7,2,-,0.597,0.58,0.571,-,
1,2,2.72,3,4.519,4.443,4.47,4.38,
3,4,4.45,5,16.85,16.49,16.24,16.07,
1,1.73,2,-,0.52,0.47,0.444,-,
2,2.9,3,-,3.654,3.59,3.604,-,
3,4,4.63,5,13.46,12.95,12.7,12.75,
1,1.7,2,-,0.647,0.66,0.609,-,
1,3,3.69,4,5.278,4.694,4.47,4.466,
2,4,4.7,5,16.18,14.88,14.36,14.34,
1,1.98,-,-,0.295,0.62,-,-,
3,3.2,-,-,4.009,4.02,-,-,
4.5,5,-,-,14.99,14.71,-,-,
1,1.7,2,-,0.66,0.53,0.444,-,
1,2,2.71,3,4.225,3.844,3.61,3.578,
2,4,4.52,5,13.94,11.1,10.9,10.9,
1.9,2.22,-,-,0.59,0.596,-,-,
3.7,4,-,-,4.48,4.377,-,-,
4,4.95,5.55,-,15.78,15.48,15.72,-,
1,1.92,2,-,0.634,0.58,0.533,-,
1,2,3.18,-,4.352,3.743,3.05,0,
2,4,4.64,5,12.97,12.6,12.18,11.94,
1,1.68,2,-,0.749,0.63,0.596,-,
1,2,2.75,3,5.189,4.223,3.86,3.73,
2,4,4.44,5,16.63,13.97,14.24,14.91,
1,2,2.48,2.81,0.787,0.647,0.58,0.609,
1,3,3.65,4,5.188,4.365,4.18,4.06,
3,4,4.96,5.53,17.1,16.66,16.15,16.05,
1.7,2,-,-,0.46,0.444,-,-,
-,-,-,-,-,-,-,-,
6,-,-,-,,13.51,-,-,
10,15,20,-,0.562,0.454,0.432,-,
10,15,20,-,1.119,0.88,0.78,-,
10,15,20,-,1.492,1.416,1.265,-,
10,15,20,-,2.189,2.005,1.789,-,
15,20,-,-,2.47,2.486,-,-,
2,3,4,6,0.012,0.012,0.012,0.011,
2,3,4,6,0.015,0.015,0.014,0.012,
2,3,4,6,0.017,0.016,0.015,0.014,
2,3,4,6,0.024,0.022,0.019,0.017,
2,3,5,7,0.033,0.031,0.03,0.028,
2,3,5,7,0.035,0.034,0.031,0.028,
2,3,5,7,0.04,0.038,0.035,0.033,
2,3,5,7,0.045,0.043,0.04,0.037,
2,4,6,7,0.071,0.069,0.068,0.067,
2,4,6,7,0.079,0.075,0.072,0.071,
2,4,6,7,0.088,0.083,0.078,0.077,
2,4,6,7,0.119,0.11,0.105,0.102,
2,3,4,-,0.048,0.045,0.042,-,
2,3,4,-,0.046,0.042,0.04,-,
2,3,4,6,0.039,0.039,0.036,0.034,
3,4,6,-,0.036,0.036,0.035,-,
2,3,4,5,0.022,0.021,0.021,0.021,
2,3,4,5,0.02,0.02,0.02,0.02,
2,3,4,5,0.02,0.019,0.019,0.019,
2,3,4,5,0.019,0.019,0.018,0.019,
2,3,4,-,0.05,0.045,0.042,-,
2,3,4,6,0.041,0.038,0.037,0.035,
2,3,4,6,0.031,0.03,0.03,0.03,
2,3,4,6,0.026,0.026,0.026,0.026,
2,3,4,-,0.112,0.118,0.121,-,
2,3,4,-,0.434,0.43,0.423,-,
2,3,4,-,0.5,0.478,0.463,-,
2,3,4,-,0.898,0.861,0.851,-,
3,4,-,-,1.257,1.192,-,-,
2,3,-,-,0.21,0.21,-,-,
2,3,4,-,0.57,0.52,0.5,-,
3,4,-,-,0.76,0.73,-,-,
2,3,4,-,1.04,0.92,0.82,-,
3,4,-,-,1.48,1.39,-,-,
13,-,-,-,0.236,-,-,-,
13,-,-,-,1.139,-,-,-,
13,-,-,-,2.493,-,-,-,
13,-,-,-,4.171,-,-,-,
13,-,-,-,0.104,-,-,-,
13,-,-,-,0.768,-,-,-,
13,-,-,-,1.547,-,-,-,
13,-,-,-,3.316,-,-,-,
15,-,-,-,0.136,-,-,-,
15,-,-,-,0.843,-,-,-,
15,-,-,-,2.23,-,-,-,
15,-,-,-,3.386,-,-,-,
15,-,-,-,0.223,-,-,-,
15,-,-,-,0.812,-,-,-,
15,-,-,-,1.821,-,-,-,
15,-,-,-,3.015,-,-,-,
15,-,-,-,3.813,-,-,-,
