τpeak
(MPa)
0
0
0
0
0
0
0.044
0.035
0.029
0.023
0.05
0.04
0.035
0.032
4.17
13.41
3.72
12.57
1.02
2.57
7.53
19.67
8.44
7.62
7.05
6.64
2.35
vro granit
1.02
4.93
16.37
0.66
4.71
16.14
1.07
4.91
14.91
0.89
5.3
15.9
0.88
5.2
16.28
0.58
3.89
13.67
7; Avro gr
0.8
5.04
16.38
4.68
15.04
0.94
15.58
0.71
4.68
16.18
0.87
5.35
16.28
17; Avro
0.97
5.22
16.95
17; Avro
1.14
5.03
15.88
1.42
5
14.91
117; Medi
0.79
5.04
16.37
0.87
5.1
15.19
0.66
4.24
14.9
0.88
4.37
14.62
117; Medi
1.04
4.79
14.13
0.75
4.53
15.2
0.47
3.84
14.16
0.64
4.09
14.35
0.84
4.72
16.29
17; Medi
1.04
5.75
16.9
17; Medi
1.33
5.29
15.69
1.19
5.38
15.17
0.57
3.22
11.06
0.88
5.1
14.84
1.23
6.22
18.37
0.72
4.54
14.29
1.16
4.98
14.83
1.06
5.34
15.72
17; Medi
1.46
5.86
15.23
0.83
4.91
16.39
1.38
17; Medi
6.11
17.18
0.69
4.61
17; Me
14.25
0.81
4.74
15.4
7; Avro
0.63
4.93
17.14
0.83
4.22
15.01
0.58
4.53
14.77
0.68
4.39
15.49
0.96
5.29
15.85
0.64
4.2
14.28
0.58
4.06
14.36
7; Quar
1
5.06
14.3
17; Med
0.85
6.09
16.89
0.85
5.85
16.87
0.8
4.61
16.61
0.76
4.74
15.76
0.81
5.18
17.29
0.57
3.8
13.69
0.88
5.54
17.84
0.66
4.22
15.12
1.09
5.16
16.09
0.64
4.79
17.57
1.15
5.06
15.79
0.9
5.79
17.51
0.99
5.46
17.29
0.51
3.73
13.66
0.64
1.15
1.67
2.36
2.87
0.0113
0.015
0.017
0.031
0.032
0.036
0.041
0.053
0.072
0.082
0.091
0.123
2°
0.057
0.052
0.042
0.036
hosed fin
0.022
0.021
0.02
0.019
ndstone;
0.059
0.039
0.031
0.025
0.103
0.413
0.523
0.929
1.278
0.191
0.606
0.785
1.067
1.53
0.381
1.479
30.401
5.488
0.306
1.422
2.417
4.482
0.367
1.297
3.232
4.233
0.464
1.532
2.845
4.37
55.263
2.088
3.886
2.257
3.4
4
3.9
4.3
3.3
3.5
1.707
2.2
2.1
5.5
4.6
5
2.1
4.9
5.7
5.6
4.8
2.4
2.9
2.8
3
2.4
2.655
2.417
5.477
3.214
3.179
5.856
5.976
4.293
1.816
3.752
0.023
0.0307
0.131
0.046
0.059
0.04
0.031
0.026
0.055
0.041
0.046
0.042
0.184
0.308
0.777
303
0.229
1.14
0.77
0.57
3.8
0.233
1.23
0.94
0.62
0.43
3.7
2.94
1.47
7.35
3.675
2.45
0.021
0.08
0.199
0.024
0.025
0.047
0.05
0.093
0.1
0.233
0.251
0.045
0.033
0.035
0.026
0.055
0.039
0.034
0.028
0.062
0.05
0.034
0.027
0.043
0.041
0.032
0.03
0.037
0.032
0.028
0.024
0.028
0.026
0.024
0.022
4.334
4.702
