JCS
"(MPa)"
ension fractur
0.45
0.45
0.45
0.45
0.45
0.45
2.00
1.46
1.22
0.89
b=32°
9.55
4.03
2.31
1.68
20; φb=30°
57
57
41
41
22; φb=30°
72
72
72
72
23; φb=30°
100
72
50
36
"; Fig. 16; φb"
169
cobsson and
184
184
184
184
184
184
184
184
184
184
obsson a
184
184
184
184
184
184
184
184
obsson a
172
172
172
172
172
172
172
172
172
172
172
172
172
obsson a
175
175
175
obsson a
268.7
268.7
268.7
268.7
268.7
268.7
obsson a
250
250
250
250
250
250
250
250
250
250
250
250
obsson a
185
185
185
185
185
185
185
185
185
185
185
185
185
185
185
sson a
185
185
185
sson a
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
230
sson a
173
173
173
173
173
173
173
sson a
173
173
173
173
bsson an
173
173
173
173
bsson and
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
158
bsson and
176
176
176
bsson and
206
206
206
206
206
206
206
206
206
206
206
206
206
206
206
17; Avro g
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
20.23
117; Avro gr
20.23
20.23
20.23
20.23
20.23
20.23
ist replicas;
75
75
75
75
75
4; Tension fr
2
2
2
2
2
2
2
2
2
2
2
2
9–21; Beddi
2000
1375.5
1105.1
760.03
9–21; Beddi
2
1.799
1.691
1.521
21; Beddi
2
1.361
0.927
0.631
8; Replica
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
o et al. (1
27.6
27.6
27.6
27.6
o et al. (1
27.6
27.6
27.6
27.6
o et al. (1
27.6
27.6
27.6
27.6
o et al. (1
27.6
27.6
27.6
27.6
27.6
10
10
10
184
184
184
184
184
184
87
25
25
25
25
25
25
25
173
173
173
173
173
173
173
184
87
87
87
87
87
87
87
87
87
87
0.92
0.92
0.92
0.92
tone; φb=32°
2
1.419
1.007
0.715
2000
1404.4
1142.1
802
8.5
8.5
8.5
8.5
11.2
11.2
11.2
11.2
11.2
11.2
11.2
11.2
11.2
11.2
11.2
14.7
14.7
14.7
14.7
14.7
30
30
30
30
30
30
30
30
30
30
30
2
1.4
1.14
0.80
2
1.48
1.24
0.917
2
1.464
1.220
0.893
fine grained sa
2
1.511
1.282
0.968
2
1.558
1.347
1.049
2
1.694
1.537
1.301
74
74
