"σn"
"(MPa)"
0.002
0.0038
0.008
0.013
0.020
0.042
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
6
24
6
24
1
3
10
30
10
10
10
10
2
05b); KLX06A;
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5b); KLX06
5
20
0.5
5
20
0.5
5
20
b); KLX10-
0.5
5
20
5
20
0.5
20
0.5
5
20
0.5
5
20
b); KLX12A
0.5
5
20
b); KLX12A
0.5
5
20
0.5
5
20
b); KFM09
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
a); KFM06
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
a); KFM0
0.5
5
20
a); KFM0
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
a); KFM0
0.5
5
20
0.5
5
20
0.5
a); KFM0
5
20
0.5
5
20
0.5
5
20
b); KLX0
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
b); KLX0
0.5
5
20
a); KFM0
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.5
5
20
0.4
0.8
1.2
1.8
2.4
0.01
0.01
0.01
0.01
0.034
0.034
0.034
0.034
0.09
0.09
0.09
0.09
stone; φb=
0.0245
0.0245
0.0245
0.0245
tly metamor
0.0245
0.0245
0.0245
0.0245
urse grained s
24.5
24.5
24.5
24.5
100
300
500
1000
1500
100
300
500
1000
1500
lica; φb=32°
276
1380
2755
5516
lica; φb=32°
283.3
1375
2749
5509
lica; φb=32°
272.7
1380
2760
5512
lica; φb=32°
275.6
1378
2756
4134
5512
1020
4130
2090
1900
3520
3570
3520
4080
2600
870
1070
1070
3720
2450
3110
1020
3110
2300
2300
2190
1120
1120
1120
1120
2650
1.73
0.87
3.78
2.6
2.6
3.78
383
2.6
0.87
1.79
0.04
0.03
0.07
0.02
24.5
24.5
24.5
24.5
0.0245
0.0245
0.0245
0.0245
300
500
1000
1500
0.490
0.980
1.460
1.950
2.930
0.48
0.91
1.19
1.80
2.60
3.05
0.5
1
2
4
6
0.035
0.138
0.345
0.035
0.035
0.069
0.069
0.138
0.138
0.345
0.345
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
0.0245
1940
970
