"δpeak"
"(mm)"
"; φb=30°"
0.33
0.46
0.50
0.53
0.58
1.18
0.72
0.92
0.97
1.85
0.78
1.25
1.80
2.22
1.64
1.61
2.76
3.07
1.55
1.71
1.67
1.67
0.84
1.81
3.61
7.34
31°
0.87
lansbjer (20
0.13
0.6
2.17
0.24
0.3
2.26
0.47
0.47
1.48
0.11
lansbjer (2
0.26
0.54
0.3
0.38
0.71
0.88
1.5
2.87
ansbjer (20
0.79
0.6
2.37
1.46
4.16
1.26
3.13
1.15
0.35
0.63
0.45
0.58
0.94
ansbjer (20
0.13
2.38
2.68
ansbjer (20
0.71
0.76
2.73
0.63
0.34
3.13
ansbjer (20
0.49
1.69
3.12
0.18
0.42
1.09
0.47
0.57
4.13
0.18
1.25
3.62
ansbjer (20
0.11
0.23
0.39
0.21
1.52
0.46
1.14
1.53
5.05
0.31
0.44
2.56
0.1
0.29
2.24
nsbjer (20
0.15
0.32
0.98
nsbjer (20
0.12
0.38
1.12
0.11
0.33
0.94
0.46
0.38
6.69
0.15
0.24
0.47
0.15
0.25
0.46
0.21
0.46
3.02
0.1
0.28
0.84
0.05
0.24
0.58
nsbjer (20
0.16
0.34
0.72
0.13
0.33
2.99
0.22
nsbjer (20
0.39
2.78
0.3
0.38
sbjer (20
0.58
0.29
0.42
2.48
sbjer (20
1.18
0.99
1.92
0.42
1.23
1.79
0.33
0.43
3.33
0.13
1.84
2.23
0.18
0.4
0.99
1.16
1.3
5.1
0.56
0.67
1.32
sbjer (20
0.17
0.32
1.07
sbjer (20
0.1
0.24
0.5
0.07
0.23
0.75
0.17
1.11
3.93
0.19
0.32
1.88
0.23
0.27
1.85
e; φb=3
0.65
1.47
2.12
0.48
0.52
0.9
0.22
1.93
3.98
0.13
0.28
0.7
1.1
3.11
2.95
0.1
0.26
0.48
0.47
0.49
1.09
te; φb=3
0.14
0.4
2.66
1.09
4.54
5.68
34°
8.16
9.63
8.17
7.68
12.65
re; φb=3
0.47
0.55
0.73
0.73
0.56
0.61
0.8
0.85
1.18
1.07
0.99
1.33
lane in li
0.57
0.74
1.17
2.7
lane in sli
0.75
1.15
1.1
1.25
plane in c
0.7
0.8
1.1
1.9
b=35°
0.6
1.16
0.99
1.49
2.48
0.84
1.16
2
1.84
2.5
"); G2; Re"
1.28
1.94
2.29
3.95
"); F2; Re"
0.34
0.55
1.07
1.08
"); F3; Re"
0.10
0.67
0.78
2.08
"); F4; Re"
0.42
1.34
1.56
1.90
2.09
0.65
0.67
0.67
0.48
0.2
0.31
0.35
0.31
0.35
0.28
0.5
0.52
0.53
0.31
0.24
0.37
0.74
0.38
0.65
0.45
0.62
0.38
0.23
0.56
0.3
0.27
0.5
0.88
0.29
0.44
0.44
0.39
0.42
0.27
0.55
2.45
1.20
2.00
1.80
0.7
0.8
1.1
1.7
0.75
0.91
1.87
2.17
0.33
0.65
1.96
2.71
1.25
1.45
1.55
1.55
1.80
0.25
1.10
0.75
0.90
1.20
1.30
1.50
1.70
1.70
2.20
2.40
0.05
0.1
0.75
1.2
1.1
1.25
1.2
1.6
2.5
1.8
4
1.13
1.74
2.13
3.5
1.13
1.22
1.45
2.17
0.6
0.7
0.9
1.8
32°
1.13
1.37
1.67
2.91
0.9
1.05
1.15
1.4
0.75
1.15
1.1
1.2
0.4
0.5
