L
"(m)"
"(1982);"
0.1
0.1
0.1
0.1
0.1
0.1
"(1980);"
0.06
0.12
0.18
0.36
"(1982);"
0.06
0.12
0.18
0.36
et al. (1
0.25
0.25
0.75
0.75
et al. (1
0.30
0.30
0.30
0.30
et al. (1
0.10
0.30
1.00
3.00
and Bart
0.20
on (200
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
on (2005
0.06
0.06
0.06
0.06
0.06
0.07
0.07
0.07
on (2006
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.07
0.07
0.06
0.06
0.06
on (2006
0.07
0.07
0.07
on (2006
0.06
0.06
0.06
0.06
0.06
0.06
on (2006
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
on (2005
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
on (200
0.07
0.07
0.07
on (200
0.05
0.05
0.05
0.05
0.05
0.05
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.07
0.07
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
on (200
0.06
0.06
0.06
0.05
0.05
0.05
0.05
on (200
0.05
0.05
0.06
0.06
0.06
0.06
0.06
0.06
n (2005
0.05
0.05
0.05
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.06
0.06
0.06
n (2005
0.06
0.06
0.06
n (2005
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.06
0.06
0.06
n (2004
0.06
0.06
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.06
0.06
0.06
0.05
0.05
0.05
0.06
0.06
0.06
n (20
0.06
0.06
0.06
0.06
0.06
0.06
et al.
0.15
0.15
0.15
0.15
0.15
t al. (
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.09
t al. (
0.06
0.12
0.18
0.36
t al. (
0.06
0.12
0.18
0.36
0.05
0.10
0.20
0.40
t al. (2
0.10
0.10
0.10
0.10
0.10
0.10
0.10
0.10
0.10
0.10
"(1994)"
0.14
0.14
0.14
0.14
"(1994)"
0.10
0.10
0.10
0.10
"(1994)"
0.11
0.11
0.11
0.11
"(1994)"
0.11
0.11
0.11
0.11
0.11
0.14
0.14
0.14
03); G
0.14
0.14
0.14
0.14
0.14
0.14
0.14
03); Li
0.14
0.14
0.14
0.14
0.14
0.14
0.14
03); G
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
03); M
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
aster;
0.16
0.16
0.16
0.16
igs. 9–2
0.05
0.10
0.20
0.40
igs. 9–2
0.06
0.12
0.18
0.36
igs. 3–8
0.10
0.10
0.10
0.10
"(1986"
0.14
0.14
0.14
0.14
0.14
"(1986"
0.13
0.13
0.13
0.13
0.13
0.13
laster;
0.15
0.15
0.15
0.15
0.15
91); Fi
0.30
0.30
0.30
0.30
0.30
0.30
0.30
0.30
0.30
0.30
0.30
gs. 9–
0.06
0.12
0.18
0.36
0.06
0.12
0.18
0.36
gs. 9–
0.06
0.12
0.18
0.36
gs. 9–
0.06
0.12
0.18
0.36
0.06
0.12
0.18
0.36
0.06
0.12
0.18
0.36
03); S
0.14
0.14
